iter	Passed	Remaining
0	143	143591
1	146	73127
2	149	49622
3	152	37860
4	155	30871
5	157	26149
6	160	22804
7	163	20290
8	166	18280
9	168	16675
10	171	15396
11	173	14317
12	176	13393
13	178	12606
14	181	11926
15	184	11337
16	187	10818
17	189	10356
18	192	9928
19	194	9536
20	197	9185
21	199	8863
22	201	8575
23	204	8303
24	206	8059
25	209	7829
26	211	7612
27	213	7415
28	216	7235
29	218	7064
30	220	6904
31	223	6756
32	225	6620
33	228	6478
34	230	6356
35	232	6238
36	235	6125
37	237	6015
38	239	5912
39	242	5813
40	244	5722
41	247	5644
42	249	5563
43	252	5487
44	255	5411
45	257	5339
46	259	5270
47	262	5201
48	264	5141
49	267	5077
50	269	5016
51	271	4942
52	273	4885
53	275	4830
54	277	4770
55	280	4720
56	282	4675
57	284	4626
58	287	4578
59	289	4536
60	291	4492
61	293	4447
62	296	4406
63	298	4365
64	300	4326
65	303	4288
66	305	4251
67	307	4215
68	309	4182
69	312	4152
70	314	4121
71	317	4089
72	319	4061
73	322	4035
74	324	4005
75	326	3975
76	329	3949
77	331	3916
78	333	3891
79	336	3865
80	338	3841
81	341	3818
82	343	3796
83	346	3776
84	348	3755
85	351	3732
86	353	3710
87	355	3688
88	358	3668
89	360	3647
90	363	3630
91	366	3614
92	368	3594
93	371	3576
94	373	3559
95	376	3541
96	378	3523
97	380	3504
98	383	3485
99	385	3469
100	387	3453
101	390	3436
102	392	3421
103	395	3407
104	398	3394
105	400	3379
106	403	3363
107	405	3348
108	407	3333
109	410	3319
110	412	3304
111	415	3290
112	417	3276
113	419	3262
114	422	3249
115	424	3237
116	427	3223
117	429	3210
118	431	3196
119	434	3184
120	436	3171
121	439	3159
122	441	3146
123	443	3134
124	446	3122
125	448	3110
126	450	3099
127	453	3088
128	455	3077
129	458	3066
130	460	3056
131	463	3047
132	465	3036
133	468	3027
134	470	3017
135	473	3006
136	475	2995
137	477	2985
138	480	2976
139	483	2967
140	485	2958
141	488	2951
142	490	2942
143	493	2932
144	495	2922
145	497	2912
146	500	2902
147	502	2893
148	504	2884
149	507	2874
150	509	2865
151	511	2856
152	514	2846
153	516	2838
154	519	2829
155	521	2820
156	523	2811
157	526	2803
158	528	2795
159	530	2786
160	533	2778
161	535	2770
162	537	2761
163	540	2753
164	542	2746
165	545	2740
166	547	2733
167	550	2725
168	552	2717
169	554	2709
170	557	2702
171	559	2694
172	562	2687
173	564	2679
174	566	2672
175	569	2665
176	571	2657
177	573	2650
178	576	2643
179	578	2636
180	581	2629
181	583	2623
182	586	2616
183	588	2609
184	590	2602
185	592	2595
186	595	2588
187	597	2581
188	599	2574
189	602	2567
190	604	2560
191	606	2554
192	609	2548
193	611	2541
194	614	2536
195	616	2530
196	619	2523
197	621	2516
198	623	2510
199	626	2504
200	628	2498
201	630	2492
202	633	2486
203	635	2480
204	637	2473
205	640	2467
206	642	2461
207	644	2455
208	647	2449
209	649	2443
210	651	2437
211	654	2431
212	656	2425
213	658	2420
214	661	2414
215	663	2409
216	666	2403
217	668	2397
218	670	2392
219	673	2386
220	675	2381
221	677	2375
222	680	2370
223	682	2364
224	685	2359
225	687	2354
226	689	2349
227	692	2344
228	694	2338
229	697	2333
230	699	2328
231	701	2323
232	704	2318
233	706	2313
234	709	2308
235	711	2303
236	713	2297
237	716	2292
238	718	2288
239	721	2283
240	723	2279
241	726	2274
242	728	2270
243	731	2264
244	733	2259
245	735	2254
246	737	2249
247	740	2244
248	742	2239
249	745	2235
250	747	2231
251	749	2225
252	752	2221
253	754	2216
254	757	2211
255	759	2207
256	761	2202
257	764	2197
258	766	2192
259	768	2187
260	770	2182
261	773	2177
262	775	2173
263	778	2169
264	780	2164
265	782	2159
266	785	2155
267	787	2151
268	789	2146
269	792	2143
270	795	2138
271	797	2134
272	799	2130
273	802	2125
274	804	2121
275	807	2117
276	809	2113
277	812	2109
278	814	2105
279	817	2101
280	819	2097
281	822	2092
282	824	2088
283	826	2084
284	829	2080
285	831	2075
286	833	2071
287	836	2066
288	838	2062
289	840	2058
290	843	2054
291	845	2049
292	847	2045
293	850	2041
294	852	2036
295	854	2032
296	856	2027
297	859	2023
298	861	2019
299	863	2015
300	866	2011
301	868	2007
302	870	2002
303	873	1998
304	875	1994
305	877	1991
306	880	1987
307	882	1983
308	885	1979
309	887	1976
310	890	1972
311	892	1968
312	895	1965
313	897	1961
314	900	1957
315	902	1953
316	904	1949
317	907	1945
318	909	1941
319	911	1937
320	914	1933
321	916	1929
322	918	1925
323	920	1921
324	923	1917
325	925	1913
326	927	1909
327	930	1905
328	932	1901
329	934	1897
330	936	1893
331	939	1889
332	941	1885
333	943	1881
334	946	1878
335	948	1874
336	950	1870
337	953	1867
338	955	1863
339	957	1859
340	960	1855
341	962	1852
342	964	1848
343	967	1844
344	969	1840
345	971	1836
346	973	1832
347	976	1828
348	978	1825
349	980	1821
350	983	1818
351	985	1814
352	988	1810
353	990	1807
354	992	1803
355	994	1799
356	997	1796
357	999	1792
358	1001	1788
359	1004	1785
360	1006	1781
361	1008	1778
362	1011	1774
363	1013	1770
364	1015	1766
365	1017	1763
366	1020	1759
367	1022	1755
368	1024	1752
369	1027	1748
370	1029	1745
371	1031	1741
372	1034	1738
373	1036	1734
374	1038	1730
375	1040	1727
376	1043	1724
377	1045	1720
378	1048	1717
379	1051	1715
380	1054	1712
381	1056	1709
382	1058	1705
383	1061	1702
384	1063	1698
385	1065	1695
386	1067	1691
387	1070	1688
388	1072	1684
389	1074	1681
390	1077	1677
391	1079	1674
392	1081	1670
393	1083	1667
394	1086	1663
395	1088	1660
396	1090	1656
397	1093	1653
398	1095	1649
399	1097	1646
400	1099	1642
401	1102	1639
402	1104	1635
403	1106	1632
404	1109	1629
405	1111	1625
406	1113	1622
407	1115	1618
408	1118	1615
409	1120	1612
410	1122	1609
411	1125	1605
412	1127	1602
413	1129	1599
414	1132	1595
415	1134	1592
416	1136	1589
417	1139	1586
418	1141	1582
419	1143	1579
420	1146	1576
421	1148	1573
422	1151	1570
423	1153	1567
424	1156	1564
425	1158	1561
426	1161	1558
427	1163	1555
428	1166	1552
429	1168	1549
430	1171	1546
431	1173	1543
432	1176	1540
433	1178	1536
434	1180	1533
435	1183	1530
436	1185	1526
437	1187	1523
438	1189	1520
439	1192	1517
440	1194	1513
441	1196	1510
442	1198	1507
443	1201	1504
444	1203	1500
445	1205	1497
446	1208	1494
447	1210	1491
448	1212	1488
449	1215	1485
450	1217	1481
451	1219	1478
452	1221	1475
453	1224	1472
454	1226	1469
455	1228	1465
456	1230	1462
457	1233	1459
458	1235	1456
459	1238	1453
460	1240	1450
461	1242	1447
462	1245	1444
463	1247	1441
464	1250	1438
465	1252	1435
466	1254	1431
467	1256	1428
468	1259	1425
469	1261	1422
470	1263	1419
471	1266	1416
472	1268	1413
473	1270	1409
474	1272	1406
475	1275	1403
476	1277	1400
477	1279	1397
478	1282	1394
479	1284	1391
480	1286	1388
481	1289	1385
482	1291	1382
483	1293	1379
484	1295	1376
485	1298	1373
486	1301	1370
487	1303	1367
488	1305	1364
489	1308	1361
490	1310	1358
491	1312	1355
492	1315	1352
493	1317	1349
494	1319	1346
495	1321	1343
496	1324	1340
497	1326	1337
498	1328	1334
499	1330	1330
500	1333	1327
501	1335	1324
502	1337	1321
503	1340	1318
504	1342	1315
505	1344	1313
506	1347	1310
507	1349	1307
508	1351	1304
509	1354	1301
510	1356	1298
511	1358	1295
512	1361	1292
513	1363	1289
514	1365	1286
515	1368	1283
516	1370	1280
517	1372	1277
518	1375	1274
519	1377	1271
520	1379	1268
521	1382	1265
522	1384	1262
523	1386	1259
524	1389	1256
525	1391	1253
526	1393	1250
527	1395	1247
528	1398	1245
529	1400	1242
530	1402	1239
531	1405	1236
532	1407	1232
533	1409	1229
534	1411	1227
535	1413	1224
536	1416	1221
537	1418	1218
538	1420	1215
539	1423	1212
540	1425	1209
541	1427	1206
542	1430	1203
543	1432	1200
544	1434	1197
545	1437	1195
546	1439	1192
547	1441	1189
548	1444	1186
549	1446	1183
550	1448	1180
551	1451	1177
552	1453	1174
553	1455	1171
554	1458	1169
555	1460	1166
556	1462	1163
557	1464	1160
558	1467	1157
559	1469	1154
560	1471	1151
561	1474	1148
562	1476	1145
563	1478	1143
564	1480	1140
565	1483	1137
566	1485	1134
567	1487	1131
568	1490	1128
569	1492	1126
570	1495	1123
571	1497	1120
572	1499	1117
573	1502	1114
574	1504	1112
575	1507	1109
576	1509	1106
577	1512	1104
578	1514	1101
579	1517	1099
580	1520	1096
581	1522	1093
582	1525	1090
583	1528	1088
584	1531	1086
585	1536	1085
586	1538	1082
587	1541	1080
588	1544	1077
589	1546	1074
590	1548	1071
591	1551	1069
592	1553	1066
593	1555	1063
594	1557	1060
595	1560	1057
596	1562	1054
597	1565	1052
598	1567	1049
599	1569	1046
600	1571	1043
601	1574	1040
602	1576	1037
603	1578	1035
604	1581	1032
605	1583	1029
606	1585	1026
607	1588	1023
608	1590	1021
609	1592	1018
610	1595	1015
611	1597	1012
612	1599	1010
613	1602	1007
614	1604	1004
615	1606	1001
616	1608	998
617	1611	996
618	1613	993
619	1616	990
620	1618	987
621	1620	985
622	1623	982
623	1625	979
624	1628	976
625	1630	973
626	1632	971
627	1634	968
628	1636	965
629	1639	962
630	1641	959
631	1643	957
632	1646	954
633	1648	951
634	1650	948
635	1653	946
636	1655	943
637	1657	940
638	1660	937
639	1662	935
640	1664	932
641	1666	929
642	1669	926
643	1671	924
644	1673	921
645	1676	918
646	1678	915
647	1680	913
648	1683	910
649	1685	907
650	1687	904
651	1689	902
652	1692	899
653	1694	896
654	1696	893
655	1699	890
656	1701	888
657	1703	885
658	1706	882
659	1708	880
660	1710	877
661	1713	874
662	1715	871
663	1717	869
664	1720	866
665	1722	863
666	1724	860
667	1726	858
668	1729	855
669	1731	852
670	1734	850
671	1736	847
672	1738	844
673	1740	842
674	1743	839
675	1745	836
676	1747	833
677	1750	831
678	1752	828
679	1754	825
680	1757	823
681	1759	820
682	1761	817
683	1764	814
684	1766	812
685	1768	809
686	1771	806
687	1773	804
688	1775	801
689	1777	798
690	1780	796
691	1782	793
692	1784	790
693	1787	788
694	1789	785
695	1792	782
696	1794	780
697	1796	777
698	1799	774
699	1801	771
700	1803	769
701	1805	766
702	1808	763
703	1810	761
704	1812	758
705	1815	755
706	1817	753
707	1819	750
708	1821	747
709	1824	745
710	1826	742
711	1829	739
712	1831	737
713	1833	734
714	1836	731
715	1838	729
716	1840	726
717	1843	723
718	1845	721
719	1848	718
720	1850	716
721	1852	713
722	1855	710
723	1857	708
724	1859	705
725	1861	702
726	1864	700
727	1866	697
728	1868	694
729	1871	692
730	1873	689
731	1875	686
732	1878	684
733	1880	681
734	1882	678
735	1885	676
736	1887	673
737	1889	670
738	1891	668
739	1894	665
740	1896	662
741	1898	660
742	1901	657
743	1903	655
744	1905	652
745	1908	649
746	1910	647
747	1913	644
748	1915	641
749	1917	639
750	1920	636
751	1922	633
752	1924	631
753	1926	628
754	1929	626
755	1931	623
756	1933	620
757	1936	618
758	1938	615
759	1940	612
760	1943	610
761	1945	607
762	1947	604
763	1949	602
764	1952	599
765	1954	597
766	1956	594
767	1959	591
768	1961	589
769	1964	586
770	1966	584
771	1968	581
772	1970	578
773	1973	576
774	1975	573
775	1977	570
776	1980	568
777	1982	565
778	1984	563
779	1987	560
780	1990	558
781	1993	555
782	1995	553
783	1999	550
784	2003	548
785	2006	546
786	2009	543
787	2012	541
788	2014	538
789	2017	536
790	2019	533
791	2021	531
792	2024	528
793	2026	525
794	2029	523
795	2031	520
796	2034	518
797	2036	515
798	2038	512
799	2041	510
800	2043	507
801	2046	505
802	2048	502
803	2050	499
804	2053	497
805	2055	494
806	2058	492
807	2060	489
808	2062	487
809	2065	484
810	2067	481
811	2070	479
812	2072	476
813	2074	474
814	2077	471
815	2079	468
816	2081	466
817	2084	463
818	2086	461
819	2089	458
820	2091	456
821	2094	453
822	2096	450
823	2098	448
824	2101	445
825	2103	443
826	2105	440
827	2108	437
828	2110	435
829	2112	432
830	2115	430
831	2117	427
832	2120	425
833	2122	422
834	2124	419
835	2127	417
836	2131	415
837	2133	412
838	2136	409
839	2139	407
840	2141	404
841	2144	402
842	2146	399
843	2148	397
844	2151	394
845	2153	392
846	2156	389
847	2158	386
848	2161	384
849	2164	381
850	2166	379
851	2169	376
852	2171	374
853	2174	371
854	2176	369
855	2179	366
856	2181	363
857	2183	361
858	2185	358
859	2188	356
860	2190	353
861	2193	351
862	2195	348
863	2197	345
864	2200	343
865	2202	340
866	2204	338
867	2206	335
868	2209	333
869	2211	330
870	2213	327
871	2216	325
872	2218	322
873	2220	320
874	2222	317
875	2225	315
876	2227	312
877	2230	309
878	2232	307
879	2234	304
880	2236	302
881	2239	299
882	2241	297
883	2243	294
884	2246	291
885	2248	289
886	2250	286
887	2252	284
888	2255	281
889	2257	279
890	2259	276
891	2262	273
892	2264	271
893	2266	268
894	2269	266
895	2271	263
896	2273	261
897	2276	258
898	2278	255
899	2280	253
900	2282	250
901	2285	248
902	2287	245
903	2289	243
904	2292	240
905	2294	238
906	2296	235
907	2299	232
908	2301	230
909	2303	227
910	2305	225
911	2308	222
912	2310	220
913	2312	217
914	2315	215
915	2317	212
916	2319	209
917	2322	207
918	2324	204
919	2326	202
920	2329	199
921	2331	197
922	2333	194
923	2336	192
924	2338	189
925	2340	187
926	2343	184
927	2345	181
928	2347	179
929	2350	176
930	2352	174
931	2354	171
932	2357	169
933	2359	166
934	2361	164
935	2364	161
936	2366	159
937	2368	156
938	2371	154
939	2373	151
940	2375	148
941	2377	146
942	2380	143
943	2382	141
944	2384	138
945	2387	136
946	2389	133
947	2391	131
948	2394	128
949	2396	126
950	2398	123
951	2401	121
952	2403	118
953	2405	116
954	2408	113
955	2410	110
956	2413	108
957	2415	105
958	2417	103
959	2420	100
960	2422	98
961	2424	95
962	2427	93
963	2429	90
964	2431	88
965	2434	85
966	2436	83
967	2438	80
968	2440	78
969	2443	75
970	2445	73
971	2447	70
972	2450	67
973	2452	65
974	2455	62
975	2457	60
976	2459	57
977	2462	55
978	2464	52
979	2466	50
980	2469	47
981	2471	45
982	2473	42
983	2475	40
984	2478	37
985	2480	35
986	2483	32
987	2485	30
988	2487	27
989	2490	25
990	2492	22
991	2494	20
992	2496	17
993	2499	15
994	2501	12
995	2503	10
996	2506	7
997	2508	5
998	2510	2
999	2513	0
